cost_burden,household_income,county,value
Unburdened (Less than 30%),80+% AMI,Gratiot County,8240.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Gratiot County,585.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Gratiot County,1865.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Gratiot County,620.0
Severly Cost Burdened (50% or more),80+% AMI,Hillsdale County,35.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Hillsdale County,870.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Hillsdale County,125.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Hillsdale County,555.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Hillsdale County,220.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Hillsdale County,280.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Hillsdale County,840.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Hillsdale County,745.0
Unburdened (Less than 30%),80+% AMI,Hillsdale County,10305.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Hillsdale County,635.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Hillsdale County,2140.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Hillsdale County,805.0
Severly Cost Burdened (50% or more),80+% AMI,Houghton County,30.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Houghton County,1135.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Houghton County,195.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Houghton County,385.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Houghton County,150.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Houghton County,290.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Houghton County,500.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Houghton County,520.0
Unburdened (Less than 30%),80+% AMI,Houghton County,7050.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Houghton County,615.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Houghton County,1635.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Houghton County,590.0
Severly Cost Burdened (50% or more),80+% AMI,Huron County,25.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Huron County,690.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Huron County,145.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Huron County,310.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Huron County,175.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Huron County,235.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Huron County,450.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Huron County,635.0
Unburdened (Less than 30%),80+% AMI,Huron County,8120.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Huron County,365.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Huron County,1920.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Huron County,625.0
Severly Cost Burdened (50% or more),80+% AMI,Ingham County,150.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Ingham County,11645.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Ingham County,1355.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Ingham County,4315.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Ingham County,1390.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Ingham County,1775.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Ingham County,5625.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Ingham County,6410.0
Unburdened (Less than 30%),80+% AMI,Ingham County,59110.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Ingham County,3310.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Ingham County,11595.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Ingham County,3640.0
Severly Cost Burdened (50% or more),80+% AMI,Ionia County,50.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Ionia County,1270.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Ionia County,245.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Ionia County,620.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Ionia County,360.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Ionia County,330.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Ionia County,1065.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Ionia County,715.0
Unburdened (Less than 30%),80+% AMI,Ionia County,14345.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Ionia County,415.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Ionia County,2200.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Ionia County,840.0
Severly Cost Burdened (50% or more),80+% AMI,Iosco County,30.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Iosco County,670.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Iosco County,155.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Iosco County,215.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Iosco County,115.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Iosco County,240.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Iosco County,570.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Iosco County,480.0
Unburdened (Less than 30%),80+% AMI,Iosco County,6220.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Iosco County,320.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Iosco County,1800.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Iosco County,690.0
Severly Cost Burdened (50% or more),80+% AMI,Iron County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Iron County,290.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Iron County,45.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Iron County,185.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Iron County,45.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Iron County,130.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Iron County,185.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Iron County,270.0
Unburdened (Less than 30%),80+% AMI,Iron County,2646.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Iron County,215.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Iron County,890.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Iron County,340.0
Severly Cost Burdened (50% or more),80+% AMI,Isabella County,75.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Isabella County,2775.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Isabella County,345.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Isabella County,1115.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Isabella County,395.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Isabella County,350.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Isabella County,1410.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Isabella County,1050.0
Unburdened (Less than 30%),80+% AMI,Isabella County,13110.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Isabella County,710.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Isabella County,2330.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Isabella County,755.0
Severly Cost Burdened (50% or more),80+% AMI,Jackson County,115.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Jackson County,3615.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Jackson County,740.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Jackson County,2245.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Jackson County,825.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Jackson County,710.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Jackson County,3270.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Jackson County,2445.0
Unburdened (Less than 30%),80+% AMI,Jackson County,36765.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Jackson County,1415.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Jackson County,6200.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Jackson County,2055.0
Severly Cost Burdened (50% or more),80+% AMI,Kalamazoo County,205.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Kalamazoo County,7065.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Kalamazoo County,1120.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Kalamazoo County,3355.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Kalamazoo County,1680.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Kalamazoo County,1215.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Kalamazoo County,5470.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Kalamazoo County,4650.0
Unburdened (Less than 30%),80+% AMI,Kalamazoo County,60795.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Kalamazoo County,2510.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Kalamazoo County,10045.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Kalamazoo County,2770.0
Severly Cost Burdened (50% or more),80+% AMI,Kalkaska County,0.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Kalkaska County,520.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Kalkaska County,45.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Kalkaska County,190.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Kalkaska County,120.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Kalkaska County,75.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Kalkaska County,370.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Kalkaska County,265.0
Unburdened (Less than 30%),80+% AMI,Kalkaska County,3995.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Kalkaska County,230.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Kalkaska County,855.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Kalkaska County,345.0
Severly Cost Burdened (50% or more),80+% AMI,Kent County,295.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Kent County,15720.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Kent County,2125.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Kent County,7075.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Kent County,2850.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Kent County,3045.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Kent County,12595.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Kent County,11600.0
Unburdened (Less than 30%),80+% AMI,Kent County,140400.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Kent County,4885.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Kent County,26605.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Kent County,8255.0
Severly Cost Burdened (50% or more),80+% AMI,Keweenaw County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Keweenaw County,45.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Keweenaw County,15.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Keweenaw County,20.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Keweenaw County,4.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Keweenaw County,25.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Keweenaw County,25.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Keweenaw County,10.0
Unburdened (Less than 30%),80+% AMI,Keweenaw County,642.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Keweenaw County,40.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Keweenaw County,140.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Keweenaw County,69.0
Severly Cost Burdened (50% or more),80+% AMI,Lake County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Lake County,420.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Lake County,75.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Lake County,195.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Lake County,60.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Lake County,155.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Lake County,185.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Lake County,185.0
Unburdened (Less than 30%),80+% AMI,Lake County,1976.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Lake County,205.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Lake County,685.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Lake County,310.0
Severly Cost Burdened (50% or more),80+% AMI,Lapeer County,85.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Lapeer County,2110.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Lapeer County,460.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Lapeer County,950.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Lapeer County,575.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Lapeer County,425.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Lapeer County,1545.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Lapeer County,1325.0
Unburdened (Less than 30%),80+% AMI,Lapeer County,19240.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Lapeer County,705.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Lapeer County,3860.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Lapeer County,1360.0
Severly Cost Burdened (50% or more),80+% AMI,Leelanau County,30.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Leelanau County,320.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Leelanau County,260.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Leelanau County,280.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Leelanau County,200.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Leelanau County,125.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Leelanau County,480.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Leelanau County,220.0
Unburdened (Less than 30%),80+% AMI,Leelanau County,5255.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Leelanau County,230.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Leelanau County,990.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Leelanau County,305.0
Severly Cost Burdened (50% or more),80+% AMI,Lenawee County,135.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Lenawee County,1935.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Lenawee County,515.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Lenawee County,1300.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Lenawee County,755.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Lenawee County,330.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Lenawee County,1825.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Lenawee County,1660.0
Unburdened (Less than 30%),80+% AMI,Lenawee County,23075.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Lenawee County,640.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Lenawee County,3875.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Lenawee County,1085.0
Severly Cost Burdened (50% or more),80+% AMI,Livingston County,145.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Livingston County,3865.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Livingston County,825.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Livingston County,1530.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Livingston County,1040.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Livingston County,1135.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Livingston County,2985.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Livingston County,2690.0
Unburdened (Less than 30%),80+% AMI,Livingston County,43925.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Livingston County,935.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Livingston County,7990.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Livingston County,2870.0
Severly Cost Burdened (50% or more),80+% AMI,Luce County,0.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Luce County,115.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Luce County,25.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Luce County,65.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Luce County,20.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Luce County,55.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Luce County,95.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Luce County,65.0
Unburdened (Less than 30%),80+% AMI,Luce County,1215.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Luce County,60.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Luce County,330.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Luce County,105.0
Severly Cost Burdened (50% or more),80+% AMI,Mackinac County,10.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Mackinac County,355.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Mackinac County,115.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Mackinac County,145.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Mackinac County,55.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Mackinac County,65.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Mackinac County,185.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Mackinac County,160.0
Unburdened (Less than 30%),80+% AMI,Mackinac County,2965.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Mackinac County,165.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Mackinac County,685.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Mackinac County,275.0
Severly Cost Burdened (50% or more),80+% AMI,Macomb County,645.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Macomb County,22925.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Macomb County,4590.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Macomb County,11630.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Macomb County,5820.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Macomb County,4430.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Macomb County,17900.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Macomb County,15225.0
Unburdened (Less than 30%),80+% AMI,Macomb County,202000.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Macomb County,6775.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Macomb County,34370.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Macomb County,11335.0
Severly Cost Burdened (50% or more),80+% AMI,Manistee County,55.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Manistee County,565.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Manistee County,120.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Manistee County,225.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Manistee County,160.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Manistee County,135.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Manistee County,475.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Manistee County,400.0
Unburdened (Less than 30%),80+% AMI,Manistee County,5355.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Manistee County,190.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Manistee County,1275.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Manistee County,385.0
Severly Cost Burdened (50% or more),80+% AMI,Marquette County,65.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Marquette County,1800.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Marquette County,370.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Marquette County,810.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Marquette County,400.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Marquette County,430.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Marquette County,1095.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Marquette County,1140.0
Unburdened (Less than 30%),80+% AMI,Marquette County,14980.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Marquette County,975.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Marquette County,2750.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Marquette County,875.0
Severly Cost Burdened (50% or more),80+% AMI,Mason County,45.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Mason County,780.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Mason County,100.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Mason County,385.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Mason County,215.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Mason County,140.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Mason County,710.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Mason County,465.0
Unburdened (Less than 30%),80+% AMI,Mason County,6930.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Mason County,250.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Mason County,1220.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Mason County,500.0
Severly Cost Burdened (50% or more),80+% AMI,Mecosta County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Mecosta County,1255.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Mecosta County,275.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Mecosta County,510.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Mecosta County,335.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Mecosta County,195.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Mecosta County,660.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Mecosta County,595.0
Unburdened (Less than 30%),80+% AMI,Mecosta County,8471.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Mecosta County,595.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Mecosta County,1760.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Mecosta County,825.0
Severly Cost Burdened (50% or more),80+% AMI,Menominee County,40.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Menominee County,515.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Menominee County,105.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Menominee County,110.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Menominee County,100.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Menominee County,180.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Menominee County,285.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Menominee County,575.0
Unburdened (Less than 30%),80+% AMI,Menominee County,5930.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Menominee County,370.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Menominee County,1575.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Menominee County,690.0
Severly Cost Burdened (50% or more),80+% AMI,Midland County,30.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Midland County,2025.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Midland County,290.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Midland County,525.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Midland County,245.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Midland County,825.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Midland County,1345.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Midland County,1485.0
Unburdened (Less than 30%),80+% AMI,Midland County,20080.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Midland County,755.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Midland County,4235.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Midland County,1740.0
Severly Cost Burdened (50% or more),80+% AMI,Missaukee County,15.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Missaukee County,305.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Missaukee County,70.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Missaukee County,260.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Missaukee County,95.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Missaukee County,80.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Missaukee County,335.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Missaukee County,275.0
Unburdened (Less than 30%),80+% AMI,Missaukee County,3355.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Missaukee County,115.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Missaukee County,710.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Missaukee County,275.0
Severly Cost Burdened (50% or more),80+% AMI,Monroe County,100.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Monroe County,3450.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Monroe County,610.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Monroe County,1690.0
